ID,Tweet Content
4316,"""🏅FIFA World Cup Qatar 2022 Golden Boot Race

🥇Lionel Messi-5⚽️+3🅰️ 114mins/g
🥈Kylian Mbappe-5⚽️+2🅰️ 95mins/g
🥉Julian Alvarez-4⚽️+0🅰️ 91mins/g
4️⃣ Olivier Giroud-4⚽️+0🅰️ 96mins/g

⚖️1st tiebreaker = assists
⚖️2nd tiebreaker = mins per goal

#FIFAWorldCup|#Messi𓃵|#GOAT𓃵 https://t.co/CCRAg5N7i0"""
4967,"""This is a picture taken just after the final whistle tonight and the Moroccan players are thanking Allah SWT for the journey they've had despite losing to France. That's such a beautiful display of gratitude ♥️

""Don’t lose hope, nor be sad"" – Quran 3:139 🇲🇦🙏🏼 #FIFAWorldCup https://t.co/eS03Izn5yW"""
2100,"""#Pathaan Mania: Shah Rukh Khan Promises His Presence At #FIFAWorldCup Final, Shares A Quirky Video Along With Wayne Rooney!
#SRK #ShahRukh #ShahRukhKhan #DeepikaPadukone @SRKUniverse @SRKFC_PUNE @SRKCHENNAIFC @iamsrkclub @deepikapadukone 

https://t.co/PM94JyKL7h"""
3600,"""Freed From Desire ! 🎶 

@equipedefrance #FIFAWorldCup https://t.co/0VGnFvIN03"""
4122,"""You see how he’s important without scoring goals? He’s a forward but his importance has been his role on the ball. You need to use that ball and well, too."""
30,"""𝐈𝐭. 𝐂𝐚𝐧𝐧𝐨𝐭. 𝐆𝐞𝐭. 𝐁𝐢𝐠𝐠𝐞𝐫. 𝐓𝐡𝐚𝐧. 𝐓𝐡𝐢𝐬. 🔥

Get into the #FIFAWorldCup Final mode with none other than @iamsrk &amp; @WayneRooney on Dec 18, LIVE on #JioCinema &amp; #Sports18 📺📲

#Qatar2022 #ARGFRA #WorldsGreatestShow #FIFAWConJioCinema #FIFAWConSports18 #Pathaan"""
66,"""📺 [At yesterday's World Cup 🏆]
🔥Join MetaFootballWorld
🎉Guess the World Cup
https://t.co/jejEWEHTXg
#FIFAWorldCup
#QatarWorldCup2022 #MetaFootballWorld https://t.co/eStfyhuMIy"""
839,"""France 🇫🇷 beat Morocco 🇲🇦 by 2-0 in exciting SF ⚽️

Meet Argentina 🇦🇷 in da Grand Finale on Sunday

Truly a GALLANT performance by a rank # 22 Team 🇲🇦 ♥️
Reaching Semis &amp; defeating giants like Belgium, Spain, Portugal was itself an exceptional effort 🙌

#FIFAWorldCup #Qatar2022"""
3907,"""FAFC Genesis Edition ( This collection have maximum supply of 107 NFTs) : https://t.co/bjvgIJMyRm

Full collection of 7,910 NFTs will be launched on 16’Dec’2022! ⚽️🥅

Join Discord : https://t.co/0OgjPZWayc

#FIFA #GOAT𓃵 #FIFA22 #FIFA22 #LeoMessi #Messi #FIFAWorldCup https://t.co/mbkNgYDe1X"""
3774,"""🇫🇷 Griezmann’s France vs Messi’s Argentina 🇦🇷 

🍻 Winner takes home their third #FIFAWorldCup and brings home the Bud! Roll on Sunday… 🙏

#Budweiser #POTM #YoursToTake #BringHomeTheBud @Budweiser @budfootball https://t.co/qQ4u4cC16W"""
4636,"""🇫🇷 Griezmann’s France vs Messi’s Argentina 🇦🇷 

🍻 Winner takes home their third #FIFAWorldCup and brings home the Bud! Roll on Sunday… 🙏

#Budweiser #POTM #YoursToTake #BringHomeTheBud @Budweiser @budfootball https://t.co/qQ4u4cC16W"""
3162,"""#Pathaan Is Everywhere Now 😍👑
Pathaan with Fifa World Cup Final. In Messi vs Mbappe .ky Yaadgar Final rayne wala hai ye."""
2660,"""🤙 Another day, another midfield masterclass from Antoine Griezmann at the #FIFAWorldCup.

France’s key man tonight is your #Budweiser Player of the Match.

#FRAMAR #POTM #YoursToTake #BringHomeTheBud https://t.co/2XQOPHZjBA"""
